Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715957349212
Timestamp end: 1715958249714

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      405.6   349.4   160.7   220.8   234.0   341.7   406.4   444.9   475.7   519.1   580.3   687.5  1717.1  2973.2  8662.9  81653.3    81508
read      377.9   311.2   160.7   220.7   233.8   334.7   394.2   429.5   457.6   493.7   542.8   623.2   970.0  3493.8 11680.5  87579.9    87619
read      371.6   295.3   160.7   221.4   235.4   334.3   389.4   422.3   447.7   479.6   525.2   596.4   837.1  3115.9  9860.2  99103.2    99068
read      384.6   310.6   160.7   216.8   228.8   337.9   411.8   458.5   496.3   542.3   594.8   664.7   852.6  1961.1 10469.3  51417.7    51267
read      511.3  1058.0   173.5   231.5   250.1   414.9   489.7   534.5   567.6   606.5   658.3   744.0  2512.2 15884.7 33107.8  11775.7    11822
read      415.3   393.0   160.7   222.2   237.3   350.4   412.8   450.4   479.4   517.5   572.8   680.5  1742.7  3693.7 10210.5  97503.4    97494
read      363.4   258.6   160.7   220.0   232.9   328.8   384.0   416.3   440.8   471.7   517.2   587.9   784.0  2253.5  7925.7  97143.1    97350
read      384.4   361.2   160.7   216.6   228.6   334.7   406.8   453.0   490.5   538.3   593.2   662.9   841.1  2805.6 14848.1  55388.8    55460
read      372.0   294.6   160.7   219.3   231.6   330.4   390.3   426.1   454.2   489.9   539.3   619.0   897.4  2750.1  9179.8  86137.8    85984
read      367.1   284.8   160.7   217.3   229.4   325.9   386.1   422.3   451.0   487.7   538.0   616.2   847.5  2324.6  8725.8  81969.3    82043
read      386.3   449.6   160.7   215.8   227.9   334.4   407.3   454.3   492.2   539.1   592.5   661.8   847.5  2402.5 28480.9  53046.6    52873
read      505.1   941.3   173.5   225.2   242.5   418.8   501.7   551.4   587.9   631.0   683.6   770.3  2416.7 10811.2 35382.5  13905.4    13911
read      402.5   410.4   160.7   216.1   228.5   339.7   417.7   468.0   508.9   557.2   614.6   703.0  1223.4  4321.2 16111.9  49970.1    49984
read      489.7  1004.6   173.5   231.6   251.3   397.4   459.2   495.0   520.8   549.5   587.6   656.8  3071.5 12761.1 35408.4   9297.0     9274
read      476.1   619.3   160.7   220.7   234.6   380.4   488.7   546.9   588.0   648.4   765.3   929.1  1562.7  6338.4 29598.4  27168.9    27187
read      530.5   881.7   173.5   222.2   237.7   435.1   543.1   614.2   665.1   718.9   781.1   875.5  2635.4  8280.9 36612.4  18768.9    18735
read      419.6   368.4   160.7   219.7   233.6   346.4   409.0   446.3   475.9   518.0   581.4   741.3  1768.9  3521.3  9416.4  86397.9    86505
read      361.5   233.6   160.7   218.0   230.5   326.2   382.2   415.0   439.5   470.9   516.2   587.5   799.4  2528.2  6242.0  92953.1    93039
read      368.3   267.9   160.7   214.6   227.3   326.6   390.0   427.8   457.6   496.1   547.9   627.8   864.5  2061.5  8101.1  75969.7    75999
read      388.3   386.3   160.7   209.1   222.0   342.9   430.7   479.6   513.5   549.4   588.8   641.4   818.8  3047.4 21351.1  32435.0    32324
read      372.3   296.5   160.7   215.2   228.3   329.9   391.1   428.0   456.9   493.7   543.7   624.9  1000.3  2197.0 10076.7  84249.4    84255
read      366.3   284.5   160.7   213.2   226.3   326.0   386.6   422.7   450.9   486.8   536.5   614.2   873.4  2458.4  8013.3  81888.4    81759
read      387.5   415.5   160.7   211.0   223.9   339.3   422.3   472.0   508.7   547.5   589.9   646.8   828.9  2741.6 28349.3  37287.2    37291
read      386.0   346.2   160.7   215.1   227.9   339.7   414.3   459.7   496.2   540.7   593.0   665.8   856.3  1793.1 12809.9  53774.7    53818
read      391.1   430.1   160.7   209.6   222.6   344.5   433.5   481.4   514.6   549.1   586.9   638.6   808.0  3944.8 28728.3  30297.9    30297
read      386.8   332.0   160.7   210.5   223.5   341.8   430.9   479.0   512.2   547.1   585.6   637.6   810.8  2265.4 13417.1  31604.2    31569
read      391.0   283.2   160.7   213.5   226.4   347.2   430.2   480.2   517.5   557.7   603.3   668.0   854.0  1788.1 11087.9  38933.6    38927
read      509.7  1086.5   173.5   224.7   244.0   409.6   483.1   525.2   553.8   586.6   630.2   703.9  3107.9 15677.9 36129.9  10642.3    10652
read      405.9   346.1   160.7   221.5   236.8   349.4   409.8   446.4   474.9   513.3   567.1   665.0  1676.6  2992.7 10614.2  98109.6    98119
read      387.0   346.2   160.7   215.3   227.8   336.9   413.9   462.8   501.7   547.3   598.3   667.4   887.4  2320.2 12608.3  48178.7    48176
read      403.2   406.5   160.7   214.9   227.7   353.3   442.0   494.7   532.0   571.2   614.8   675.7   874.3  3827.2 21445.9  34841.1    34929
read      473.9   492.5   160.7   221.9   237.8   360.4   436.2   495.1   546.2   621.6   787.3  1166.2  1870.5  3655.3 18997.8  69840.4    69735
read      489.5   430.0   160.7   217.3   231.5   428.6   549.4   634.9   694.7   754.9   821.2   914.8  1087.6  3816.7 19920.3  20758.1    20753
read      428.1   338.1   160.7   223.0   239.1   365.8   438.6   486.6   524.4   571.9   637.2   767.0  1671.0  2990.4 10072.7  84611.1    84642
read      387.4   364.7   160.7   215.9   228.5   344.0   425.3   473.7   510.7   551.8   595.0   652.0   777.9  1342.1 21691.1  42355.1    42333
read      378.3   245.8   160.7   218.2   230.5   339.6   411.2   454.1   487.4   529.1   579.8   645.2   786.1  1350.6  8222.0  61618.1    61587
read      373.4   250.3   160.7   219.1   231.8   336.0   401.5   441.0   470.8   509.1   559.3   632.2   789.3  1676.1  8040.5  78197.0    77998
read      366.2   255.2   160.7   222.2   236.8   337.6   393.4   426.6   452.3   484.0   527.4   592.8   734.8  1107.8  9164.1  97748.0    97625
read      384.7   353.5   160.7   215.5   228.3   355.2   441.2   479.8   504.9   532.0   562.2   601.5   687.6  1417.6 19315.1  23777.7    23781
read      375.8   236.4   160.7   218.2   230.5   337.9   407.4   449.8   481.7   521.9   572.5   640.0   783.8  1418.3  8016.8  66871.4    66723
read      387.1   293.9   160.7   214.0   227.2   348.1   438.2   484.9   516.1   548.3   583.9   631.4   740.0  1456.2 11066.6  31048.2    31016
read      381.2   270.7   160.7   213.9   226.8   341.8   418.5   464.5   500.6   542.1   588.1   646.8   774.3  1379.8 10098.2  47445.9    47394
read      360.6   201.3   160.7   218.2   230.9   331.4   388.9   423.1   449.5   481.8   525.8   591.4   737.7  1085.4  7593.7  95333.4    95335
read      353.6   328.3   173.5   237.1   259.1   334.7   359.1   371.7   382.1   394.2   408.3   435.7   562.5  4732.4 12386.2   5214.3     5252
