Random waveform, random seed
Total number of intervals = 120 (99406, 24285, 82162, 67101, 29792, 90015, 78908, 7965, 56094, 96068, 62781, 6278, 17625, 51920, 60823, 67243, 28930, 56811, 79125, 36504, 45858, 12840, 15678, 18327, 73062, 75598, 33489, 95384, 71227, 24580, 92676, 64631, 22097, 72215, 85691, 84300, 83184, 47923, 46376, 79452, 30939, 90290, 56782, 70973, 29918, 22019, 92969, 53574, 15563, 77251, 77488, 80601, 43143, 92935, 41525, 56584, 68430, 29618, 20253, 54044, 36356, 25335, 45608, 94515, 96088, 21168, 31679, 77275, 13913, 81885, 69013, 50591, 55208, 27443, 40205, 23676, 97941, 9419, 81636, 52172, 11963, 84276, 61629, 17214, 85401, 66228, 75792, 77538, 57023, 43148, 83049, 46405, 97480, 58089, 86149, 95380, 9062, 73996, 7726, 30279, 15407, 22747, 61063, 99274, 89397, 60373, 97850, 94214, 76570, 45596, 78926, 9784, 50196, 57907, 70899, 8071, 39327, 76665, 23319, 80219)
Average QPS expected = 55884
Timestamp start: 1715952266292
Timestamp end: 1715953466813

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      388.3   258.2   160.7   218.7   231.4   346.4   426.6   473.3   508.8   550.1   598.7   666.1   802.4  1370.0  8746.1  60339.4    60373
read      385.2   272.3   160.7   225.2   241.5   353.4   415.0   452.5   480.7   515.4   561.7   634.9   803.7  1229.6 10961.0  97915.7    97850
read      383.9   225.2   160.7   224.4   240.4   351.6   414.7   453.2   482.0   517.5   564.5   636.4   809.1  1365.7  7981.4  94296.1    94214
read      385.5   254.2   160.7   220.4   234.0   345.4   418.8   462.5   495.7   535.2   585.4   661.0   819.6  1590.8  8110.1  76541.6    76570
read      394.7   358.7   160.7   217.0   230.0   351.2   436.7   487.6   524.6   564.3   608.3   666.2   781.0  1496.0 19819.8  45671.6    45596
read      386.4   293.0   160.7   220.7   234.6   346.2   418.5   461.5   494.4   533.5   583.3   659.5   827.9  1599.1 10522.0  79032.3    78926
read      387.6   581.0   173.5   231.9   249.6   368.9   407.8   427.5   440.6   456.6   473.3   503.6   582.3  7538.3 29292.1   9796.0     9784
read      391.2   319.2   160.7   216.7   229.8   347.2   431.1   481.4   519.2   560.4   606.8   667.6   787.8  1341.7 12672.6  50304.4    50196
read      391.8   361.7   160.7   219.0   231.9   347.1   428.5   476.6   512.8   554.5   603.1   669.0   798.0  1500.1 20695.7  57756.1    57907
read      388.3   316.7   160.7   219.6   232.9   345.3   422.2   467.0   501.4   542.1   592.1   665.9   816.5  1530.1 12656.2  70884.2    70899
read      383.8   686.1   173.5   236.6   255.9   361.2   394.4   411.5   423.9   436.3   456.3   483.2   559.8  7248.9 32013.3   8060.3     8071
read      396.4   478.3   160.7   215.1   228.4   350.9   439.3   491.5   526.9   563.5   602.6   654.0   759.2  1385.2 28822.4  39327.5    39327
read      382.8   238.0   160.7   219.8   233.3   344.9   416.7   459.5   492.1   531.1   580.5   653.7   805.9  1318.4  7842.2  76774.9    76665
read      398.1   448.9   160.7   218.1   231.4   369.5   457.0   495.7   519.8   543.7   572.5   611.4   691.3  2881.6 28509.8  23354.9    23319
read      383.5   270.7   160.7   220.5   234.6   344.5   415.4   458.4   490.9   529.8   579.7   654.1   812.2  1396.5 10013.0  80159.4    80219

Total QPS = 55884.3 (67061160 / 1200.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 16564106767 bytes :   13.2 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.96%,49.49%,100.00%
