Total number of intervals = 120 (38537, 8757, 78620, 94815, 9043, 32520, 67169, 25283, 40908, 58210, 42283, 67160, 72673, 85920, 42244, 80370, 52972, 72725, 17334, 99335, 61160, 23164, 44177, 84487, 87462, 28320, 62767, 58097, 36447, 30033, 54655, 49157, 75223, 12933, 50191, 65588, 52615, 50267, 15819, 97313, 97069, 74437, 6647, 41433, 37116, 72054, 42283, 76629, 72881, 74346, 85070, 9876, 74470, 79009, 80351, 19572, 97199, 72134, 67746, 38193, 15378, 7463, 81983, 97643, 39174, 69450, 70716, 74466, 14774, 15647, 67132, 74061, 44164, 57954, 16205, 34212, 93366, 76855, 85485, 48693, 76364, 97393, 17072, 78483, 85339, 62001, 11217, 85231, 55026, 17973, 7501, 61139, 57490, 94603, 54500, 8619, 40349, 59193, 28429, 80508, 7224, 58072, 99473, 9136, 86517, 96968, 88617, 60045, 5644, 6829, 69927, 24774, 26778, 84851, 27787, 32539, 87834, 97787, 80356, 17647)
Average QPS expected = 54811
Timestamp start: 1715887986329
Timestamp end: 1715889186867

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      400.9   246.2   160.7   221.1   234.9   358.1   438.4   490.6   529.1   573.0   623.5   686.7   812.5  1901.5 11112.5  48690.1    48693
read      386.7   204.3   160.7   221.9   236.0   347.5   419.8   463.5   496.8   536.1   585.5   659.3   816.5  1851.9  7671.9  76273.6    76364
read      424.1   370.9   173.5   229.7   247.2   373.5   439.9   481.1   512.2   551.2   606.0   695.8  1480.3  4509.6 12238.8  97444.6    97393
read      458.8   306.1   173.5   229.8   248.1   416.8   507.1   564.4   607.2   653.7   706.6   779.4   935.3  3967.8 12307.4  17082.0    17072
read      417.0   301.1   173.5   226.1   241.8   368.3   442.2   488.9   524.2   567.4   625.1   717.8  1112.7  2932.3  9903.3  78446.2    78483
read      378.4   192.2   173.5   223.7   238.1   344.7   410.7   450.6   480.7   516.6   562.2   630.4   770.8  1458.8  7626.2  85421.4    85339
read      386.2   203.1   160.7   221.8   235.7   347.3   423.7   469.6   504.9   545.2   593.2   656.4   763.9  1450.3  7798.8  61983.8    62001
read      398.4   316.7   173.5   237.9   254.0   390.3   435.6   457.8   471.7   489.6   507.5   539.2   628.0  4060.3 12574.2  11142.2    11217
read      378.4   184.1   160.7   223.3   237.6   345.4   411.8   451.4   481.1   517.4   563.9   632.5   769.6  1349.6  5970.9  85184.1    85231
read      388.9   204.5   173.5   221.8   235.6   349.1   426.4   474.7   511.6   553.1   601.5   661.9   765.3  1582.1  7650.3  55026.4    55026
read      393.5   222.2   160.7   226.9   241.9   380.9   457.8   490.8   510.6   530.4   550.3   583.7   644.5  2002.0  8265.4  18030.8    17973
read      390.1   382.4   173.5   247.4   267.2   371.9   402.7   420.0   431.0   445.5   464.0   497.0   641.9  5227.6 16056.6   7531.8     7501
read      384.5   192.9   160.7   221.7   235.3   346.1   420.9   466.6   502.4   542.8   590.6   653.1   758.8  1310.7  7884.6  61086.5    61139
read      390.0   196.5   160.7   222.7   237.0   351.0   427.8   474.7   510.8   551.3   598.9   660.7   775.5  1455.0  7817.6  57468.7    57490
read      377.5   173.8   160.7   224.9   240.0   348.2   409.8   446.7   473.8   507.6   550.3   618.9   756.7  1439.7  6673.2  94613.4    94603
read      388.9   197.3   173.5   222.1   236.1   350.7   427.3   474.1   511.0   551.7   600.0   660.0   760.8  1306.8  7825.8  54513.1    54500
read      396.2   473.0   173.5   241.5   259.5   378.8   415.4   433.3   447.0   461.9   481.1   508.8   630.5  5704.4 20305.2   8627.7     8619
read      392.5   209.0   160.7   220.7   234.5   349.0   432.8   489.6   528.1   567.2   609.1   661.4   749.4  1523.4  8363.0  40468.9    40349
read      386.7   206.5   160.7   221.2   234.8   346.3   422.9   469.8   505.8   546.9   594.5   658.3   767.1  1744.8  8407.2  59003.0    59193
read      392.4   225.6   160.7   221.4   235.2   345.6   448.8   502.5   532.5   562.0   591.8   633.1   716.5  2138.1  9719.1  28357.1    28429
read      379.1   176.8   160.7   222.2   236.3   344.9   413.0   453.9   485.0   522.2   569.2   636.5   772.6  1522.8  6989.5  80546.2    80508
read      392.7   450.9   173.5   245.0   264.8   371.4   402.7   419.7   430.5   444.5   463.0   496.1   653.3  7319.5 18595.5   7271.8     7224
read      386.8   199.1   160.7   222.1   236.1   348.9   424.0   469.9   505.9   546.8   594.3   655.2   755.8  1471.9  8010.9  58191.5    58072
read      374.4   177.3   160.7   225.8   241.1   347.9   405.8   440.2   466.5   498.1   538.7   600.3   733.9  1464.7  6734.5  99594.7    99473
read      395.2   385.0   173.5   242.1   260.0   376.5   414.2   432.5   446.2   461.3   480.1   508.0   636.2  7105.5 13864.9   9163.0     9136
read      377.5   203.6   160.7   223.7   238.1   344.3   409.1   448.0   477.3   512.9   557.8   625.3   754.7  1506.2  8556.4  86309.7    86517
read      371.4   172.6   160.7   224.7   239.6   344.1   402.6   437.2   464.2   496.6   538.0   599.7   729.4  1176.5  7706.5  96832.4    96968
read      375.5   195.5   160.7   223.7   238.1   342.7   406.1   444.6   473.2   508.8   553.3   621.0   746.3  1425.1  8116.1  88336.7    88617
read      390.5   234.6   173.5   225.6   240.7   350.3   425.3   470.8   506.6   547.2   594.0   655.4   762.2  1620.9 10228.9  60190.1    60045
read      388.5   448.3   187.4   254.9   276.2   358.7   384.9   398.2   407.8   421.8   435.9   470.6   753.6  7722.7 19147.1   5665.0     5644
read      390.5   412.0   173.5   248.4   269.3   367.7   397.5   413.5   424.8   436.1   457.0   490.1   652.1  6232.7 15954.4   6834.1     6829
read      385.3   209.2   160.7   222.5   236.6   346.9   420.7   465.0   498.6   537.7   585.4   651.3   774.1  1610.3  9654.8  69815.1    69927
read      394.8   229.8   160.7   222.2   236.5   353.4   459.7   507.3   532.8   558.7   586.3   626.2   702.7  1873.1  9582.0  24719.1    24774
read      392.3   225.8   160.7   221.1   234.8   346.3   453.7   504.5   532.6   560.8   590.4   630.6   708.9  1635.3  9227.0  26758.0    26778
read      378.2   175.9   160.7   222.7   236.9   344.7   411.0   451.1   481.2   517.7   563.8   632.2   775.5  1538.3  5861.9  84994.4    84851
read      393.7   229.4   160.7   221.6   235.8   349.1   452.5   505.3   534.1   562.9   592.5   634.2   721.9  1500.7  9372.3  27861.6    27787
read      393.6   226.9   160.7   221.2   235.3   347.0   442.7   502.0   536.0   569.7   605.2   647.3   733.5  1359.6  9267.1  32609.7    32539
read      380.9   198.2   160.7   224.1   238.7   347.7   413.3   452.4   482.1   518.1   564.3   633.1   780.2  1569.2  8051.1  87649.5    87834
read      382.1   185.1   160.7   227.0   242.9   353.8   414.7   451.0   478.1   510.3   552.7   620.5   762.6  1495.4  7981.5  97784.3    97787
read      380.7   193.6   160.7   221.9   235.7   344.9   413.5   455.5   487.5   525.5   572.7   640.1   785.5  1579.3  8031.4  80401.7    80356
read      399.0   286.9   173.5   227.3   242.5   383.3   459.5   492.1   512.0   531.5   551.5   585.0   660.0  3481.7 13262.3  17652.7    17647

Total QPS = 54797.2 (65756584 / 1200.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 16241876001 bytes :   12.9 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.97%,49.24%,100.00%
