#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      354.3   222.3   148.8   211.6   227.0   323.0   383.5   418.2   443.0   471.1   507.7   565.3   705.0  1616.8  9183.9  30201.2    30260  1715447915704  1715447925822
read      359.8   210.8   160.7   213.0   228.2   330.5   390.7   426.3   452.0   481.2   517.8   575.7   710.7  1823.6  8749.9  30248.2    30265  1715447927328  1715447937448
read      340.2   213.3   148.8   209.3   223.0   313.5   367.5   398.8   422.1   448.8   481.6   530.4   639.9  1450.3  8677.7  30248.3    30270  1715447938955  1715447949072
read      358.4   191.9   148.8   208.4   224.0   328.5   390.8   428.1   455.0   485.4   524.0   586.0   729.9  1187.0  8088.7  30254.9    30275  1715447950580  1715447960693
read      351.4   221.3   148.8   209.3   223.7   320.2   380.0   415.8   441.0   469.9   506.2   563.4   691.3  1754.4  8407.2  30295.1    30280  1715447962201  1715447972319
read      353.8   228.9   160.7   207.6   222.4   323.0   383.1   418.9   444.3   472.7   510.4   571.0   699.3  2011.8  8688.7  30248.2    30285  1715447973829  1715447983943
read      358.0   204.8   148.8   208.8   223.9   328.2   390.2   426.2   452.0   481.7   519.5   579.7   718.0  1560.5  8307.3  30352.7    30290  1715447985449  1715447995569
read      344.7   212.6   160.7   210.1   223.8   316.9   372.0   404.1   428.5   456.8   492.1   544.0   668.0  1533.8  8704.6  30236.6    30295  1715447997077  1715448007195
read      362.0   246.7   148.8   208.3   223.8   328.1   392.0   429.5   456.7   488.0   527.3   588.7   736.8  2218.1 11768.9  30288.0    30300  1715448008705  1715448018824
read      344.2   198.8   148.8   208.6   222.6   315.8   372.5   405.1   429.7   458.5   494.0   545.6   680.1  1664.9  8367.7  30331.6    30305  1715448020332  1715448030451
read      354.9   204.4   148.8   210.2   225.2   325.6   388.0   422.8   447.6   475.7   511.3   568.7   699.7  1166.1  8720.9  30343.8    30310  1715448031958  1715448042077
read      351.6   204.0   148.8   208.2   223.0   322.7   382.7   417.9   442.9   471.6   508.8   567.7   694.4  1169.7  8961.4  30296.8    30315  1715448043584  1715448053711
read      355.5   245.3   148.8   209.9   224.5   323.7   384.5   419.4   444.3   473.0   509.5   567.1   701.7  2221.7 10799.7  30338.1    30320  1715448055218  1715448065342
read      361.6   206.0   160.7   211.4   226.9   330.9   394.3   429.9   456.1   486.4   524.9   584.9   730.5  1719.6  8130.9  30340.3    30325  1715448066850  1715448076966
read      364.9   232.7   148.8   213.5   229.0   335.1   397.3   432.1   457.8   487.5   524.7   582.4   723.9  1726.1  8691.6  30335.0    30330  1715448078474  1715448088587
read      335.5   191.2   160.7   208.3   221.8   310.6   362.7   393.0   414.8   440.0   472.8   523.0   630.1  1704.3  8088.6  30180.8    30335  1715448090093  1715448100221
read      352.7   229.2   160.7   211.2   225.2   321.5   382.0   416.7   441.0   469.7   505.7   561.8   694.0  1657.3  8779.1  30394.7    30340  1715448101732  1715448111850
read      348.1   244.4   148.8   208.7   223.2   317.9   376.1   408.8   432.6   461.3   497.1   548.6   682.4  1954.2 12072.8  30287.2    30345  1715448113358  1715448123486
read      355.2   232.3   148.8   208.9   223.5   324.3   384.9   419.4   444.5   473.3   509.9   569.1   700.8  2460.9  9223.1  30306.9    30350  1715448124999  1715448135121
read      343.8   203.4   148.8   207.7   221.9   316.7   373.3   404.9   429.2   457.8   493.5   545.6   663.1  1620.8  8906.9  30336.8    30355  1715448136629  1715448146750
read      357.9   231.7   148.8   209.1   224.4   327.2   388.8   423.9   449.3   478.8   516.3   575.6   710.4  1838.8  8759.0  30441.1    30360  1715448148258  1715448158384
read      348.0   217.6   148.8   210.5   224.7   319.4   375.4   407.6   431.6   460.3   496.5   549.6   686.8  1581.2 10211.7  30269.4    30365  1715448159890  1715448170006
read      355.0   198.6   148.8   211.9   226.8   325.7   384.5   418.7   443.4   472.5   509.5   568.3   692.8  1840.4  8425.6  30280.3    30370  1715448171516  1715448181635
read      361.2   228.9   148.8   210.6   225.9   329.8   393.2   428.8   454.9   485.3   524.2   585.7   736.6  1529.9  8505.7  30371.4    30375  1715448183144  1715448193262
read      349.2   215.3   148.8   208.0   222.8   319.3   379.5   414.2   438.2   467.1   503.5   560.2   684.9  1468.6 10363.7  30380.3    30380  1715448194770  1715448204893
read      353.9   224.1   148.8   210.6   225.1   323.3   384.9   419.6   444.4   472.8   508.9   567.2   695.2  1555.0  8175.6  30441.0    30385  1715448206405  1715448216528
read      349.8   428.0   148.8   208.8   223.5   320.2   378.8   412.4   436.3   465.9   503.2   559.6   684.8  1290.7  8776.6  30273.9    30390  1715448218037  1715448228164
read      351.5   431.7   148.8   213.5   228.2   319.9   376.9   410.2   433.9   462.5   499.0   552.4   680.0  2045.3  8775.2  30323.8    30395  1715448229673  1715448239791
read      352.9   184.4   148.8   212.0   226.4   325.2   382.9   416.7   441.4   470.3   507.8   565.7   688.6  1553.8  7989.7  30445.1    30400  1715448241299  1715448251423
