Random waveform, supplied seed
Total number of intervals = 150 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682)
Average QPS expected = 50033
Timestamp start: 1715964404597
Timestamp end: 1715965305129

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      386.5   301.3   160.7   218.8   231.1   336.4   400.4   440.3   471.8   513.2   569.7   659.9  1164.5  3420.4  8772.9  86022.0    85984
read      371.7   273.7   160.7   215.8   228.1   327.5   389.6   427.9   459.2   499.1   552.6   635.0   879.6  3344.1  7863.7  82185.2    82043
read      389.0   279.6   173.5   218.2   229.6   341.8   418.2   465.5   503.2   548.1   603.0   677.3   874.0  2690.8  8428.9  52775.0    52873
read      466.9   588.4   160.7   226.8   244.0   421.2   499.7   549.0   587.3   630.4   684.6   763.4   945.3  7229.7 29194.1  13944.7    13911
read      415.0   328.2   160.7   220.4   232.8   345.0   423.3   477.5   522.7   576.6   641.7   788.7  1399.0  2096.2 10512.8  50083.2    49984
read      441.1   547.9   173.5   236.5   257.2   400.9   463.5   499.7   525.1   552.3   586.7   636.3   841.7  7667.1 28837.1   9304.8     9274
read      465.1   372.0   173.5   224.0   238.7   383.3   496.9   561.3   611.0   686.3   819.7   984.9  1213.9  3479.2 12814.0  27198.8    27187
read      478.2   482.4   173.5   224.4   239.4   423.5   520.7   581.5   633.4   700.9   777.1   873.2  1076.4  4696.5 29582.5  18731.2    18735
read      402.8   364.7   160.7   221.0   234.2   341.4   404.5   442.9   473.4   515.1   574.3   676.3  1712.0  3150.6 10100.7  86675.7    86505
read      377.3   312.3   160.7   221.7   235.1   335.2   394.7   430.6   459.5   495.8   544.6   624.5   869.2  3179.8  8997.5  93036.0    93039
read      376.3   313.9   160.7   218.5   229.7   328.3   392.8   431.7   463.6   504.5   559.8   639.9   923.9  3257.7 10154.5  76080.7    75999
read      391.4   240.5   160.7   216.8   228.8   346.6   432.8   484.6   519.8   556.9   598.7   656.0   862.5  2141.5  8221.8  32275.5    32324
read      366.2   237.1   160.7   218.9   230.1   325.1   385.0   420.7   449.3   486.8   538.0   617.4   863.5  2543.7  7639.4  84295.8    84255
read      372.5   294.5   160.7   219.2   230.7   328.6   390.8   428.5   458.8   497.0   548.7   630.1   912.5  2381.3 11246.7  81701.5    81759
read      395.3   319.8   160.7   216.7   228.4   346.7   430.1   482.4   520.4   561.9   609.0   670.6   877.7  3149.7 12732.5  37235.2    37291
read      385.5   281.7   160.7   216.5   228.1   336.6   409.0   456.1   493.6   539.8   594.8   668.0   885.9  3156.3 10820.3  53722.8    53818
read      397.6   467.1   160.7   215.9   228.1   346.5   433.5   483.0   516.3   551.9   591.1   643.3   847.4  5572.9 28404.7  30222.7    30297
read      395.8   383.1   160.7   216.8   228.9   348.4   436.7   488.0   522.8   560.0   602.6   660.4   830.8  2183.5 22259.8  31549.7    31569
read      397.0   324.6   173.5   217.5   229.3   350.5   432.3   483.3   521.4   564.7   613.5   676.7   873.1  2482.9 10987.4  39031.0    38927
read      433.7   440.1   173.5   230.9   249.8   404.2   471.0   511.6   539.8   571.0   607.8   665.2   821.1  3758.6 28146.5  10687.0    10652
read      455.5   397.9   160.7   226.3   242.9   373.7   443.0   485.6   519.9   566.3   637.4   888.0  1856.7  3713.6 10485.8  97905.0    98119
read      389.8   358.4   160.7   215.8   227.6   339.6   415.4   462.8   500.8   546.3   599.5   667.2   891.9  3609.9 15091.0  48153.3    48176
