col	#type	cpu_cores	avg	std	min	p5	p10	p50	p67	p75	p80	p85	p90	p95	p99	p999	p9999	QPS	target	ts_start	ts_end
62	read	2	387.5	415.5	160.7	211.0	223.9	339.3	422.3	472.0	508.7	547.5	589.9	646.8	828.9	2741.6	28349.3	37287.2	37291	1715957969557.8286	1715957979563.4065
63	read	2	386.0	346.2	160.7	215.1	227.9	339.7	414.3	459.7	496.2	540.7	593.0	665.8	856.3	1793.1	12809.9	53774.7	53818	1715957979563.4065	1715957989568.9844
64	read	2	391.1	430.1	160.7	209.6	222.6	344.5	433.5	481.4	514.6	549.1	586.9	638.6	808.0	3944.8	28728.3	30297.9	30297	1715957989568.9844	1715957999574.5625
65	read	2	386.8	332.0	160.7	210.5	223.5	341.8	430.9	479.0	512.2	547.1	585.6	637.6	810.8	2265.4	13417.1	31604.2	31569	1715957999574.5625	1715958009580.14
66	read	2	391.0	283.2	160.7	213.5	226.4	347.2	430.2	480.2	517.5	557.7	603.3	668.0	854.0	1788.1	11087.9	38933.6	38927	1715958009580.14	1715958019585.718
67	read	1	509.7	1086.5	173.5	224.7	244.0	409.6	483.1	525.2	553.8	586.6	630.2	703.9	3107.9	15677.9	36129.9	10642.3	10652	1715958019585.718	1715958029591.296
68	read	2	405.9	346.1	160.7	221.5	236.8	349.4	409.8	446.4	474.9	513.3	567.1	665.0	1676.6	2992.7	10614.2	98109.6	98119	1715958029591.296	1715958039596.8738
69	read	2	387.0	346.2	160.7	215.3	227.8	336.9	413.9	462.8	501.7	547.3	598.3	667.4	887.4	2320.2	12608.3	48178.7	48176	1715958039596.8738	1715958049602.4517
70	read	2	403.2	406.5	160.7	214.9	227.7	353.3	442.0	494.7	532.0	571.2	614.8	675.7	874.3	3827.2	21445.9	34841.1	34929	1715958049602.4517	1715958059608.0295
71	read	2	473.9	492.5	160.7	221.9	237.8	360.4	436.2	495.1	546.2	621.6	787.3	1166.2	1870.5	3655.3	18997.8	69840.4	69735	1715958059608.0295	1715958069613.6074
72	read	1	489.5	430.0	160.7	217.3	231.5	428.6	549.4	634.9	694.7	754.9	821.2	914.8	1087.6	3816.7	19920.3	20758.1	20753	1715958069613.6074	1715958079619.1853
73	read	2	428.1	338.1	160.7	223.0	239.1	365.8	438.6	486.6	524.4	571.9	637.2	767.0	1671.0	2990.4	10072.7	84611.1	84642	1715958079619.1853	1715958089624.7632
